run_id,study,kind,L,U,g,lambda,accepted,mode,E_real,E_imag
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,72,-0.4497992438534997,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,73,-0.43759848671853696,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,74,-0.41015538530000084,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,75,-0.397209842589223,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,76,-0.3793143852375831,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,77,-0.36935716673065144,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,78,-0.3605037473246462,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,79,-0.35674626720632574,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,80,0.35674626720632574,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,81,0.36050374732464574,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,82,0.3693571667306519,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,83,0.379314385237584,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,84,0.3972098425892243,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,85,0.4101553853000013,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,86,0.4375984867185365,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,87,0.4497992438535001,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,88,0.4874519636562993,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,89,0.49548031210102206,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,90,0.5441986561131024,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,91,0.5450913667941403,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,92,0.5970983821695319,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,93,0.6059241923071235,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,94,0.6503978456658766,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,95,0.6712453985856077,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,96,0.7042006365827129,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,97,0.7390878130164877,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,98,0.7580050908763416,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,99,0.8069973479710264,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,100,0.8130923779178603,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,101,0.8620456943305257,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,102,0.8814760199232765,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,103,0.9130722880275535,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,104,0.9535287412578908,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,105,0.9624432625920127,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,106,1.010107270057269,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,107,1.0260197534080406,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,108,1.056030473681309,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,109,1.0953354769102315,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,110,1.1028590303155832,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,111,1.1402646480908056,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,112,1.1707103413811524,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,113,1.1797800635041658,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,114,1.2168734150874645,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,115,1.2390156877836236,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,116,1.2523167513312696,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,117,1.2823553233518559,0.0
