run_id,q,g,L,omega,center_ldos,edge_ldos,local_difference,G_1L_abs,G_L1_abs,stripped_1L_abs,covariance_error
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.0999999999999996,0.0105268511573614,0.0092057064586828,5.896018613962273e-16,4.68965920888685e-10,7.632645063702134e-05,1.891943556533317e-07,1.9584667525961348e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.0899999999999998,0.0102562535980568,0.0090372127333763,4.193871149322119e-16,4.49024787487556e-10,7.308093562954873e-05,1.811495282644365e-07,1.837700974272905e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.08,0.0100213920789106,0.0088967106682615,1.952050343412986e-15,4.339176407482975e-10,7.062217511324249e-05,1.750548702822997e-07,1.5735313392144153e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.0700000000000002,0.0098191059032577,0.0087819450249633,8.287912594422436e-16,4.2329327067213986e-10,6.889300797697903e-05,1.7076869348085513e-07,1.638312270124273e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.0599999999999996,0.0096468004688296,0.008691082327782,7.331048956618763e-16,4.1690832481354614e-10,6.785382744584824e-05,1.6819282247660624e-07,1.6756743538276169e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.0499999999999998,0.0095023618020343,0.0086226500300243,3.8271003680417016e-16,4.1462834989985607e-10,6.74827506044334e-05,1.6727301494798256e-07,1.7055085382260438e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.04,0.0093840902960601,0.0085754895905585,1.9778890766513103e-16,4.1642991308974364e-10,6.777596364539489e-05,1.6799981741207985e-07,1.5356737650041836e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.0300000000000002,0.0092906497366503,0.0085487207069745,2.8549248168660323e-16,4.2240565397147884e-10,6.874854410601087e-05,1.704106033462235e-07,1.8965148834820265e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.0199999999999995,0.0092210287511576,0.0085417146997627,9.926830104099762e-17,4.3277372695655863e-10,7.043599766234274e-05,1.7459338252143885e-07,1.666375895060341e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,-0.0099999999999997,0.0091745126077216,0.00855407560901,7.72877227840136e-17,4.4789307147942785e-10,7.289674342569386e-05,1.8069296144070098e-07,1.9027068499944786e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.0,0.0091506639032338,0.0085856280081779,2.9176378038049177e-16,4.682862106753477e-10,7.621582454263984e-05,1.889201409820403e-07,1.5266580485292201e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.0099999999999997,0.009149311169284,0.0086364108997828,7.632862144957757e-16,4.946718120111413e-10,8.051020758479244e-05,1.995648522945198e-07,1.5755480457695733e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.0200000000000004,0.0091705448379429,0.0087066773663793,3.6620337169408165e-16,5.28010084110084e-10,8.593617110650364e-05,2.1301447118452885e-07,1.6180332916456334e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.0300000000000002,0.0092147203782228,0.0087968999322029,3.2368285245694693e-16,5.695653284274307e-10,9.269948622768226e-05,2.2977905326277187e-07,1.5979536171737366e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.04,0.0092824687686811,0.0089077818680749,8.622116668970984e-16,6.209917764925488e-10,0.0001010693870556,2.505259631592992e-07,1.6253352173855349e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.0499999999999998,0.0093747148394999,0.0090402749660427,8.301191083824977e-16,6.844514859068179e-10,0.0001113977588247,2.761274371636974e-07,2.1067142792414143e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.0600000000000005,0.0094927044276932,0.0091956046437701,3.7706999104196523e-16,7.627769514244506e-10,0.0001241456036287,3.0772618521723276e-07,1.9002488789330284e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.0700000000000002,0.009638041775924,0.0093753036393934,3.345273782981758e-16,8.596968520925724e-10,0.0001399197818459,3.468264638092089e-07,1.5483657096488306e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.08,0.0098127392118487,0.0095812560605995,4.252726876253798e-16,9.801520111858695e-10,0.0001595244361397,3.954215433121933e-07,1.5659469646984785e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.0899999999999998,0.0100192819287192,0.0098157542045269,4.0798099887576493e-16,1.1307418006288803e-09,0.0001840336459099,4.561738003795121e-07,1.7475273177526825e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1000000000000005,0.0102607117296066,0.0100815714340493,5.830322762800934e-16,1.320361469081169e-09,0.0002148951554986,5.326718344457113e-07,1.657537046860798e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1100000000000003,0.0105407350124837,0.0103820555761594,1.457167719820518e-16,1.5611224569034656e-09,0.0002540801598517,6.298017492829796e-07,1.6258878694723965e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.1200000000000001,0.0108638622304694,0.0107212489386386,3.290674871864012e-16,1.869697727690847e-09,0.0003043022636875,7.542898984784268e-07,1.779751897504219e-15
