run_id,kind,L,U,filling,g,target_g,lambda,chi,status,message,accepted,s_min,metric_violation
generalization_branch_trial_f4725074759d,branch_trial,40,1.0,0.8,0.05,0.05,0.09709461279836153,0.7174375408710433,FAILED,NO_SCF_CONVERGENCE,False,0.9999996511687127,0.09850299347897842
generalization_branch_trial_f4813779b2d2,branch_trial,20,3.0,0.8,0.1,0.1,1e-12,7.38905609893065e-12,SUCCESS,SUCCESS,True,0.9999999999999994,1.9493345761744338e-16
generalization_branch_trial_f496163328ab,branch_trial,40,1.0,0.8,0.05,0.05,0.09631764707964648,0.7116964975885117,FAILED,NO_SCF_CONVERGENCE,False,0.999999999999988,0.0972340702584336
generalization_branch_trial_f5c09bc16932,branch_trial,40,1.0,0.8,0.05,0.05,0.09631742710239771,0.7116948721642802,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999993,0.09723369037826991
generalization_branch_trial_f5f2ef7fd4f6,branch_trial,20,2.0,1.2,0.1,0.1,0.005994842503189421,0.04429622756032048,SUCCESS,SUCCESS,True,0.9999989990264682,0.00024777858492461285
generalization_branch_trial_f5f61960ee51,branch_trial,24,2.0,1.0,0.1,0.1,8.799225435691092e-05,0.0009699541399065088,SUCCESS,SUCCESS,True,0.9999999996727295,8.640105720414965e-06
generalization_branch_trial_f5faca1bb4cc,branch_trial,20,2.0,1.0,0.1,0.1,0.0007262917501736235,0.0053666104862234295,SUCCESS,SUCCESS,True,0.9999999775925059,9.30422166260183e-05
generalization_branch_trial_f6275b991a52,branch_trial,40,1.0,0.8,0.05,0.05,0.09631742871794509,0.7116948841016504,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999994,0.09723369528260292
generalization_branch_trial_f637117d4a9d,branch_trial,24,1.0,0.8,0.1,0.1,0.017223091590007112,0.18985317641659347,SUCCESS,SUCCESS,True,0.9999350656839195,0.04096961414988268
generalization_branch_trial_f67817fde1be,branch_trial,20,2.0,1.0,0.1,0.1,0.1,0.7389056098930651,SUCCESS,SUCCESS,True,0.992881338697707,0.1186581571433348
generalization_branch_trial_f73c22e0ce32,branch_trial,20,3.0,0.8,0.1,0.1,0.04948168092155145,0.36562291619873016,SUCCESS,SUCCESS,True,0.9989136525519797,0.04655754390534794
generalization_branch_trial_f74712c0069c,branch_trial,40,1.0,0.8,0.05,0.05,0.09631918849068238,0.7117078871611275,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999987951,0.09723655726988044
generalization_branch_trial_f74afe3e8e67,branch_trial,20,2.0,1.0,0.1,0.1,0.012115276586285901,0.08952045835012755,SUCCESS,SUCCESS,True,0.9999895776550495,0.003071467411509691
generalization_branch_trial_f77db556dcda,branch_trial,80,1.5,0.8,0.025,0.025,1.2915496650148854e-06,9.543332929350077e-06,SUCCESS,SUCCESS,True,0.9999999999998149,2.2139010586566723e-08
